location_key,area_sq_km,latitude,longitude
AD,470,42.558333,1.555278
AE,83600,24.4,54.3
AF,652860,33,66
AF_BAL,16186,36.7,67.116667
AF_BAM,14175,34.75,67.25
AF_BDG,20591,35,63.75
AF_BDS,44059,38,71
AF_BGL,21118,35.87,68.93
AF_DAY,18088,33.75,66.25
AF_FRA,48470,32.5,63.5
AF_FYB,20293,36,65
AF_GHA,22915,33.5,68
AF_GHO,36479,34.519722,65.255
AF_HEL,58584,31,64
AF_HER,54778,34,62
AF_JOW,11798,36.75,66
AF_KAB,4461,34.56,69.22
AF_KAN,54022,31,65.5
AF_KAP,1842,35,69.7
AF_KDZ,8040,36.8,68.8
AF_KHO,4151,33.4,69.9
AF_KNR,4339,35,71.2
AF_LAG,3843,34.66,70.2
AF_LOG,3879,34,69.2
AF_NAN,7727,34.25,70.5
AF_NIM,41356,31,62.5
AF_NUR,9225,35.25,70.75
AF_PAN,3610,35.4275,69.735
AF_PAR,5974,35,69
AF_PIA,6432,33.6,69.5
AF_PKA,19482,32.5,68.8
AF_SAM,11262,36.25,68.0167
AF_SAR,16360,35.6,66.3
AF_TAK,12333,36.7,69.8
AF_URU,12640,32.8,66
AF_WAR,9934,34.4,68.4
AF_ZAB,17343,32.1,67.1
AG,440,17.116667,-61.85
AI,91,18.227222,-63.048889
AL,28750,41,20
AM,29740,,
AN,800,15,-66
AO,1246700,-12.35,17.35
AQ,14200000,-90,0
AR,2780400,-34,-64
AR_A,155488,-24.783333,-65.416667
AR_A_007,21945,-24.113611,-64.124722
AR_A_014,2925,-25.119722,-66.161944
AR_A_021,1570,-26.069444,-65.976111
AR_A_028,1722,-24.789167,-65.410556
AR_A_035,640,-24.895833,-65.487222
AR_A_042,910,-25.1025,-65.535278
AR_A_049,2365,-24.170833,-65.046944
AR_A_056,,-22.5,-63.833333
AR_A_070,3515,-22.790833,-65.218611
AR_A_077,867,-24.601111,-65.378611
AR_A_098,2152,-25.468056,-65.565278
AR_A_105,25636,-24.216389,-66.321944
AR_A_112,5235,-25.496944,-64.971111
AR_A_119,,-25.436389,-66.294444
AR_A_126,11892,-23.129722,-64.321667
AR_A_133,,-24.1833,-62.8833
AR_A_140,,-25.798333,-64.974167
AR_A_147,5110,-24.979722,-65.579722
AR_A_154,5125,-25.885833,-65.929167
AR_A_161,,-22.250278,-64.965556
AR_B,307571,-36.157222,-60.569722
AR_B_007,,-37.166667,-62.733333
AR_B_014,,-38.033333,-60.083333
AR_B_021,,-35.033333,-60.25
AR_B_028,122,-34.783333,-58.4
AR_B_035,55,-34.666667,-58.35
AR_B_042,,-37.15,-58.466667
AR_B_049,,-36.8,-59.85
AR_B_056,2300,-38.7,-62.266667
AR_B_063,,-37.866667,-58.25
AR_B_070,1591,-33.833333,-59.533333
AR_B_077,,-34.066667,-60.116667
AR_B_084,,-37.683333,-59.8
AR_B_091,,-34.767889,-58.213278
AR_B_098,,-34.883333,-57.9
AR_B_105,,-36.233333,-61.116667
AR_B_112,,-35.116667,-60.5
AR_B_119,,-35.167838,-58.237337
AR_B_126,,-34.133333,-58.866667
AR_B_134,,-35.05,-58.766667
AR_B_140,,-34.183333,-59.766667
AR_B_147,,-35.616667,-61.366667
AR_B_154,,-35.366667,-62.916667
AR_B_161,1080,-34.383333,-59.816667
AR_B_168,,-36.1,-57.783333
AR_B_175,,-33.8973,-61.0994
AR_B_182,,-38.866667,-62.083333
AR_B_189,,-38.716667,-61.283333
AR_B_196,,-38,-61.016667
AR_B_203,,-37.459826,-61.932472
AR_B_210,,-34.633333,-64.016667
AR_B_217,,-35.566667,-58.016667
AR_B_224,,-34.9,-60.033333
AR_B_231,3820,-36.6,-60.75
AR_B_238,,-36.316667,-57.666667
AR_B_245,,-34.866667,-57.9
AR_B_252,,-34.35,-58.766667
AR_B_260,,-34.8,-58.466667
AR_B_266,,-34.294144,-59.099267
AR_B_270,,-34.833333,-58.55
AR_B_274,189,-34.816667,-58.283333
AR_B_277,,-34.85,-62.466667
AR_B_280,,-38.155833,-58.028333
AR_B_287,,-36.033333,-60.016667
AR_B_294,,-34.3,-61.3
AR_B_301,,-35.75,-58.5
AR_B_308,,-36.65,-57.783333
AR_B_315,2978,-37.001944,-57.136111
AR_B_322,,-37.25,-61.25
AR_B_329,,-34.916667,-58.933333
AR_B_336,,-36.416667,-56.95
AR_B_343,,-35.533333,-58.283333
AR_B_351,,-36.033333,-59.1
AR_B_357,1460,-38.003333,-57.552778
AR_B_364,,-34.616667,-58.95
AR_B_371,,-34.566667,-58.516667
AR_B_385,,-35,-61.033333
AR_B_392,,-35.03,-63.009833
AR_B_399,,-37,-62.4
AR_B_406,,-36.283333,-61.716667
AR_B_408,,-34.6,-58.633333
AR_B_410,,-34.652222,-58.675
AR_B_412,,-34.51,-58.78
AR_B_413,,-34.583333,-60.95
AR_B_420,,-36.566667,-56.683333
AR_B_427,325,-34.716667,-58.633333
AR_B_434,,-34.7,-58.4
AR_B_441,,-34.916667,-57.95
AR_B_448,,-37.55,-60.8
AR_B_455,,-36.033333,-59.1
AR_B_462,,-34.5,-61.483333
AR_B_469,,-34.866667,-61.533333
AR_B_476,,-38.16156,-58.77274
AR_B_483,,-35.216667,-59.183333
AR_B_490,,-34.766667,-58.4
AR_B_497,,-34.566667,-59.1
AR_B_505,,-35.083333,-57.516667
AR_B_511,,-36.866667,-57.866667
AR_B_515,,-34.45,-58.63
AR_B_518,,-34.666667,-59.433333
AR_B_525,,-34.766667,-58.833333
AR_B_532,,-34.666667,-59.433333
AR_B_539,170,-34.666667,-58.716667
AR_B_547,,-35.45,-58.783333
AR_B_553,,-38.983333,-61.25
AR_B_560,,-34.65,-58.783333
AR_B_568,56,-34.65,-58.616667
AR_B_574,,-35.016667,-59.266667
AR_B_581,,-38.55,-58.733333
AR_B_588,,-38.466667,-60.95
AR_B_595,,-35.7,-63
AR_B_602,,-40.816667,-63
AR_B_609,,-35.8,-61.866667
AR_B_616,,-36.266667,-63.166667
AR_B_623,,-33.883333,-60.583333
